# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	17438
#@/user_id	965b802b-6d45-476d-ab25-d046d79127f1
a 	啊	c=1 d=1 t=17434
da chi du 	打尺度	c=2 d=1 t=9240
da da 	大大	c=1 d=1 t=13223
da dai 	大袋	c=1 d=1 t=12946
da dao 	達到	c=10 d=2.83454 t=12956
da duan 	大端	c=1 d=1 t=5020
da fu 	大夫	c=1 d=1 t=1257
da gai 	大概	c=1 d=1 t=170
da gui mo 	大規模	c=3 d=1 t=8292
da hai 	大海	c=0 d=0.1 t=10165
da hai li 	大海裏	c=1 d=1 t=10166
da hai zi men 	大孩子們	c=1 d=1 t=13302
da jia 	大家	c=3 d=0.1 t=17428
da juan 	答卷	c=0 d=0.1 t=6123
da juan ji 	大卷積	c=1 d=1 t=8378
da juan ji he 	答卷幾何	c=2 d=1 t=12883
da jue xin 	大決心	c=2 d=1.73712 t=17299
da ka 	打卡	c=1 d=1 t=16876
da kai 	打開	c=1 d=1 t=3017
da kuo hao 	大括號	c=2 d=1.9802 t=15491
da lian 	大連	c=1 d=1 t=1792
da liang 	大量	c=2 d=1 t=13501
da mo xing 	大模型	c=2 d=1 t=12940
da nao 	大腦	c=1 d=1 t=13233
da qian 	大錢	c=1 d=1 t=10915
da ren men 	大人們	c=1 d=1 t=13304
da shi 	大師	c=1 d=1 t=3185
da shu ju 	大數據	c=3 d=1.0002 t=17062
da wei 	大尾	c=1 d=1 t=15478
da xia 	大廈	c=1 d=1 t=15955
da xiao 	大小	c=14 d=1.00003 t=16167
da xie 	大寫	c=1 d=1 t=15956
da xin 	大新	c=1 d=1 t=16995
da xue 	大學	c=5 d=1.06814 t=15224
da yang 	大洋	c=1 d=1 t=15467
da ye 	大爺	c=1 d=1 t=15618
da yin ji 	打印機	c=2 d=1.65051 t=17090
da zhe 	打折	c=1 d=1 t=617
da zhi 	大志	c=1 d=1 t=611
dai 	帶	c=1 d=1 t=6775
dai biao 	代表	c=3 d=0.100272 t=8687
dai biao xing 	代表性	c=2 d=1 t=14194
dai er 	戴爾	c=0 d=0.1 t=15951
dai er ji 	戴爾基	c=4 d=3.44053 t=16078
dai gei 	帶給	c=1 d=1 t=10305
dai jia 	代價	c=1 d=1 t=10820
dai lai 	帶來	c=1 d=1 t=15801
dai li 	代理	c=2 d=1 t=16571
dai ma 	代碼	c=23 d=1.00003 t=15993
dai ma kuai 	代碼塊	c=1 d=1 t=5247
dai ma lai 	代碼來	c=1 d=1 t=9632
dai shu 	代數	c=1 d=1 t=5291
dai shu 	袋鼠	c=2 d=1.00009 t=5290
dai ti 	代替	c=1 d=1 t=12718
dai yan 	代言	c=1 d=1 t=4339
dai you 	帶有	c=1 d=1 t=9263
dan 	但	c=12 d=1.71536 t=16315
dan 	單	c=1 d=1 t=3384
dan bai zhi 	蛋白質	c=1 d=1 t=15506
dan chun 	單純	c=1 d=1 t=8294
dan dang 	擔當	c=1 d=1 t=13739
dan du 	單獨	c=4 d=1.48432 t=16547
dan fu 	單幅	c=1 d=1 t=8566
dan ge 	單個	c=1 d=1 t=1443
dan shi 	但是	c=30 d=1.16874 t=16722
dan wei 	單位	c=1 d=1 t=4932
dan xiang 	單向	c=1 d=1 t=14181
dan xiao 	膽小	c=1 d=1 t=14234
dan yi 	單一	c=3 d=1.99501 t=15272
dan yu 	但與	c=1 d=1 t=13622
dan yuan 	單元	c=5 d=1.78663 t=13671
dan zhen 	但真	c=1 d=1 t=1346
dan zhen 	單幀	c=1 d=1 t=1348
dan zhi 	單隻	c=1 d=1 t=16789
dang 	當	c=4 d=1.64404 t=16620
dang 	黨	c=5 d=2.67914 t=17328
dang cheng 	當成	c=1 d=1 t=6944
dang ci 	檔次	c=1 d=1 t=17370
dang ji 	當即	c=1 d=1 t=17136
dang ji 	黨籍	c=3 d=1.99094 t=17282
dang qian 	當前	c=13 d=1.74505 t=12009
dang ran 	當然	c=8 d=1.00898 t=14589
dang ren 	當人	c=1 d=1 t=13576
dang shi 	當時	c=1 d=1 t=9622
dang wei 	黨委	c=1 d=1 t=17356
dang xia 	當下	c=2 d=1 t=15538
dang yuan 	黨員	c=1 d=1 t=17336
dang zuo 	當作	c=2 d=1.90484 t=9570
dao 	到	c=53 d=1.905 t=16919
dao 	導	c=1 d=1 t=7831
dao 	道	c=1 d=1 t=2294
dao bi 	倒逼	c=1 d=1 t=2259
dao chu 	導出	c=2 d=1.32142 t=14317
dao dai 	倒帶	c=2 d=1.96079 t=12955
dao dao le 	到到了	c=1 d=1 t=7200
dao di 	到底	c=1 d=1 t=15447
dao di shi 	到底是	c=1 d=1 t=2550
dao le 	到了	c=1 d=1 t=15984
dao shi 	倒是	c=1 d=1 t=11293
dao shu 	導數	c=2 d=1.01742 t=7566
dao xiang 	稻香	c=1 d=1 t=11837
dao you 	到有	c=1 d=1 t=893
dao you 	導遊	c=1 d=1 t=890
dao zhi 	導致	c=7 d=1.00002 t=16627
dao zui hao 	到最好	c=1 d=1 t=14328
dao zuo 	稻作	c=1 d=1 t=6267
de 	地	c=1 d=1 t=10507
de 	的	c=1722 d=7.42092 t=17431
de dai 	的帶	c=1 d=1 t=12273
de dao 	得到	c=18 d=2.30667 t=16922
de dui zhun 	的對準	c=1 d=1 t=3947
de guo 	德國	c=1 d=1 t=5156
de hua 	的話	c=1 d=1 t=8554
de wang luo 	的網絡	c=1 d=1 t=2953
deng 	等	c=14 d=1.2019 t=12909
deng dai 	等待	c=2 d=1 t=14879
deng deng 	等等	c=1 d=1 t=6332
deng e 	等額	c=1 d=0.1 t=15413
deng jia 	等價	c=1 d=1 t=12498
deng ran 	等然	c=1 d=1 t=13399
deng ren 	等人	c=3 d=1.99501 t=14089
di 	低	c=3 d=1 t=8781
di 	地	c=1 d=1 t=15606
di 	第	c=3 d=1 t=16740
di ceng 	底層	c=7 d=1.06687 t=12596
di ceng ku 	底層庫	c=1 d=1 t=1425
di da 	抵達	c=1 d=1 t=16739
di dian 	地點	c=2 d=1.00003 t=16159
di er 	第二	c=3 d=1.07136 t=5400
di er bu 	第二部	c=1 d=1 t=12651
di er ci 	第二次	c=1 d=1 t=16135
di er ge 	第二個	c=4 d=1 t=8249
di fang 	地方	c=2 d=1.00005 t=11736
di fang 	提防	c=1 d=1 t=10525
di fen 	低分	c=2 d=1.96537 t=6461
di fen bian lv 	低分辨率	c=2 d=1.89137 t=6435
di feng xian qu 	低風險去	c=1 d=1 t=297
di gui 	遞歸	c=1 d=1 t=16030
di jin 	遞進	c=1 d=1 t=5844
di li 	地理	c=0 d=0.1 t=444
di mian 	地面	c=3 d=2.95072 t=2075
di ming 	地名	c=1 d=1 t=15588
di que 	的確	c=2 d=1 t=13497
di san ji 	第三季	c=1 d=1 t=15951
di san zhang 	第三章	c=1 d=1 t=9880
di si 	第四	c=1 d=1 t=14122
di yi 	第一	c=8 d=1.98511 t=16122
di yi bu 	第一步	c=3 d=1 t=12647
di yi bu shi 	第一步是	c=1 d=1 t=4812
di yi ci 	第一次	c=1 d=1 t=15462
di yi dian 	第一點	c=2 d=1 t=16294
di yi ge 	第一個	c=2 d=1.00032 t=4324
di yi pian 	第一篇	c=1 d=1 t=14532
di yi shi 	第一是	c=1 d=1 t=9198
di yi zhen 	第一幀	c=2 d=1.94649 t=1386
di yin 	底音	c=1 d=1 t=14862
di zhi 	地址	c=19 d=2.00448 t=16840
di zi 	底子	c=1 d=1 t=3092
dian 	點	c=21 d=1 t=16230
dian cheng 	點乘	c=1 d=1 t=9382
dian chui 	電鎚	c=1 d=1 t=15760
dian da 	電大	c=1 d=1 t=15226
dian dao 	顛倒	c=2 d=1.70117 t=5172
dian dao 	點到	c=1 d=1 t=5173
dian di 	點滴	c=1 d=1 t=13574
dian dian 	點點	c=2 d=1.94649 t=15778
dian ji 	奠基	c=1 d=1 t=9987
dian mian 	店面	c=1 d=1 t=4355
dian ming 	點名	c=1 d=1 t=17330
dian nao 	電腦	c=2 d=1.00003 t=17436
dian nao qian 	電腦前	c=1 d=1 t=13028
dian shang 	點上	c=1 d=1 t=3655
dian shi 	電視	c=1 d=1 t=15223
dian shi ju 	電視劇	c=1 d=1 t=10258
dian xing 	典型	c=4 d=1 t=9042
dian yong 	電泳	c=2 d=1 t=12369
dian yun 	點雲	c=4 d=1.85642 t=6636
diao cha 	調查	c=2 d=1.98511 t=17275
diao dian 	掉點	c=1 d=1 t=12574
diao du 	調度	c=1 d=1.08065 t=13670
diao du qi 	調度器	c=3 d=2.49484 t=13697
diao li 	調離	c=1 d=1 t=17096
diao yong 	調用	c=25 d=1.79057 t=16038
diao yong de 	調用的	c=1 d=1 t=2922
diao yong lian 	調用鏈	c=1 d=1 t=11254
diao yong zhan 	調用棧	c=1 d=1 t=11426
diao yong zhe 	調用這	c=1 d=1 t=11641
diao zhuo 	雕琢	c=1 d=1 t=605
diao zuo 	雕鑿	c=1 d=1 t=13676
die 	跌	c=0 d=0.1 t=6283
die dai 	迭代	c=9 d=3.84229 t=12275
die du chang 	跌賭場	c=1 d=1 t=6284
ding 	定	c=2 d=1 t=14342
ding dian 	頂點	c=1 d=1 t=16043
ding diao 	定調	c=1 d=1 t=2394
ding hui 	定會	c=1 d=1 t=6047
ding ji fen 	定積分	c=2 d=1.00823 t=8374
ding liang 	定量	c=1 d=1 t=3890
ding lv 	定律	c=1 d=1 t=6005
ding shao 	釘梢	c=1 d=1 t=10099
ding wei 	定位	c=2 d=1.00489 t=2389
ding xing 	定性	c=1 d=1 t=3888
ding yi 	定義	c=11 d=1.0572 t=13125
ding ying 	定影	c=1 d=1 t=2983
ding yue 	訂閱	c=1 d=1 t=16985
ding zhe 	盯着	c=1 d=1 t=13342
ding zhi 	定製	c=3 d=2.29915 t=8019
ding zhi zhi nan 	定製指南	c=1 d=1 t=746
diu qi 	丟棄	c=1 d=1 t=11558
diu shi 	丟失	c=1 d=1 t=14239
diu shi le 	丟失了	c=1 d=1 t=6393
dong 	動	c=1 d=1 t=10382
dong hua 	動畫	c=2 d=1.96079 t=1609
dong ji 	冬季	c=1 d=1 t=654
dong jian 	洞見	c=1 d=1 t=14765
dong li 	動力	c=3 d=1 t=13749
dong ri 	冬日	c=1 d=1 t=720
dong tai 	動態	c=6 d=1 t=13631
dong tai he 	動態核	c=1 d=1 t=11214
dong tai hua 	動態化	c=1 d=1 t=5505
dong wu 	動物	c=6 d=1 t=6664
dong wu 	東吳	c=1 d=1 t=10207
dong xi 	東西	c=12 d=1.0004 t=17432
dong zuo 	動作	c=3 d=1.96562 t=3304
dou 	都	c=11 d=1.0052 t=14655
dou dai biao 	都代表	c=1 d=1 t=8688
dou hao 	逗號	c=1 d=1 t=12428
dou hao 	都好	c=1 d=1 t=12427
dou hui 	都會	c=2 d=1 t=14661
dou shi 	都是	c=5 d=0.768027 t=13647
dou shi 	鬥士	c=1 d=1 t=13364
dou shi shui 	都是水	c=1 d=1 t=10167
dou shi yi ge 	都是一個	c=1 d=1 t=13648
dou xing 	都行	c=1 d=1 t=2249
dou yao 	都要	c=1 d=1 t=9578
dou you 	都有	c=3 d=2.03558 t=15610
dou you zhe 	都有這	c=1 d=1 t=15608
dou zai 	都在	c=2 d=1.00002 t=2223
du 	度	c=3 d=1.40454 t=13176
du 	讀	c=10 d=1.30728 t=16052
du 	都	c=0 d=0.1 t=2047
du bu wan 	讀不完	c=1 d=1 t=13195
du chang 	賭場	c=0 d=0.1 t=6283
du da 	毒打	c=1 d=1 t=10534
du guo 	度過	c=3 d=2.48713 t=14706
du hou gan 	讀後感	c=1 d=1 t=13152
du le 	讀了	c=1 d=1 t=6065
du li 	獨立	c=2 d=1 t=4537
du liang 	度量	c=1 d=1 t=2141
du lun wen 	都論文	c=1 d=1 t=2048
du qu 	讀取	c=4 d=1.99501 t=16469
du qu he 	讀取和	c=1 d=1 t=8624
du shu 	讀書	c=5 d=2.39857 t=10393
du shu ren 	讀書人	c=1 d=1 t=10244
du te 	獨特	c=2 d=1 t=16110
du wen 	讀文	c=1 d=1 t=6001
du xia lai 	讀下來	c=2 d=1 t=15562
du xie 	讀寫	c=5 d=1 t=9562
du xie suo 	讀寫鎖	c=1 d=1 t=5563
du zi 	肚子	c=1 d=1 t=2122
duan 	段	c=3 d=1 t=11796
duan 	端	c=0 d=0.1 t=16884
duan ceng 	斷層	c=1 d=1 t=7516
duan kou 	端口	c=1 d=1 t=17394
duan kou hao 	端口號	c=1 d=1 t=16459
duan shi 	短時	c=1 d=1 t=6040
duan zan 	短暫	c=0 d=0.1 t=15826
dui 	堆	c=9 d=1.7393 t=12182
dui 	對	c=32 d=1.81147 t=17287
dui bi 	對比	c=17 d=1.0719 t=16210
dui bi du 	對比度	c=1 d=1 t=15459
dui bi yu 	對比於	c=1 d=1 t=4199
dui ce 	對策	c=1 d=1 t=1007
dui die 	堆疊	c=2 d=1 t=12887
dui dui 	對對	c=1 d=1 t=13945
dui he 	對合	c=1 d=1 t=5435
dui kang 	對抗	c=3 d=1 t=17155
dui lie 	隊列	c=1 d=1 t=13703
dui qi 	對齊	c=1 d=1 t=1063
dui shi 	對視	c=1 d=1 t=6392
dui xiang 	對象	c=21 d=1.00004 t=17333
dui ying 	對應	c=17 d=1 t=16023
dui yu 	對於	c=19 d=1.80313 t=17164
dui zhang 	隊長	c=2 d=1 t=16268
dui zhao 	對照	c=1 d=1 t=17338
dui zhe xi 	對浙西	c=1 d=1 t=13428
dui zhun 	對準	c=1 d=1.05247 t=4075
dun xia 	蹲下	c=1 d=1 t=14235
duo 	多	c=10 d=1.00011 t=15723
duo bian 	多變	c=2 d=1 t=14436
duo cai 	多彩	c=1 d=1 t=14725
duo chong 	多重	c=1 d=1 t=15612
duo da 	多大	c=1 d=1 t=16075
duo duo 	多多	c=1 d=1 t=9802
duo ge 	多個	c=7 d=1.0751 t=13549
duo guang pu 	多光譜	c=1 d=1 t=1012
duo hao 	多好	c=1 d=1 t=14732
duo kan 	多看	c=1 d=1 t=9153
duo le 	多了	c=1 d=1 t=5997
duo lei bie 	多類別	c=1 d=1 t=3145
duo ren wu 	多任務	c=1 d=1 t=840
duo shao 	多少	c=1 d=1 t=11745
duo shi jiao 	多視角	c=4 d=2.5621 t=3381
duo tai 	多態	c=1 d=1 t=5364
duo xiang shi 	多項式	c=1 d=1 t=6285
duo yang 	多樣	c=1 d=1 t=15477
duo yang xing 	多樣性	c=3 d=1 t=12023
duo yue 	多月	c=1 d=1 t=13718
duo zhong 	多種	c=2 d=1.00557 t=15476
e 	惡	c=1 d=1 t=16345
e 	額	c=2 d=1.40252 t=2718
e pian 	萼片	c=0 d=0.1 t=15208
e wai 	額外	c=3 d=1 t=11075
e wei 	阿魏	c=2 d=1 t=11074
en 	恩	c=1 d=1 t=324
en zang er 	恩髒而	c=1 d=1 t=15000
er 	二	c=8 d=1 t=16275
er 	兒	c=1 d=0.822527 t=15672
er 	而	c=18 d=1.28429 t=16737
er biao 	耳標	c=1 d=1 t=1172
er bu 	而不	c=1 d=1 t=13073
er bu shi 	而不是	c=3 d=1 t=12884
er dai 	二代	c=1 d=1 t=9697
er fei 	而非	c=1 d=1 t=423
er ji 	二級	c=1 d=1 t=17403
er jin zhi 	二進制	c=1 d=1 t=5624
er qie 	而且	c=4 d=1.00021 t=12480
er ran 	而然	c=1 d=1 t=15599
er shi 	兒時	c=1 d=1 t=13322
er shi 	而是	c=2 d=1.00737 t=5241
er tong dao 	而通道	c=1 d=1 t=2961
er yi 	而已	c=1 d=1 t=5097
er yuan 	二元	c=1 d=1 t=452
fa 	法	c=4 d=0.277803 t=14015
fa 	發	c=1 d=1 t=678
fa chu 	發出	c=0 d=0.1 t=7707
fa chu guang 	發出光	c=1 d=1 t=7708
fa hen ai 	法很愛	c=1 d=1 t=14016
fa hui 	發揮	c=1 d=1 t=14424
fa lv 	法律	c=2 d=1.2739 t=17277
fa she 	發射	c=1 d=1 t=7705
fa she chang 	發射場	c=1 d=1 t=7725
fa sheng 	發生	c=1 d=1 t=181
fa song 	發送	c=2 d=1 t=15358
fa xian 	發現	c=8 d=1.51711 t=17353
fa yu 	發育	c=1 d=1 t=635
fa ze 	法則	c=1 d=1 t=7264
fa zhan 	發展	c=2 d=1 t=17306
fa zhan guan 	發展觀	c=1 d=1 t=13752
fan 	反	c=3 d=0.483536 t=7560
fan 	泛	c=1 d=1 t=14464
fan dao 	反倒	c=1 d=1 t=5927
fan duo 	繁多	c=1 d=1 t=10134
fan fu 	反腐	c=1 d=1 t=17217
fan hua 	泛化	c=2 d=1.0013 t=16407
fan hua xing 	反滑行	c=1 d=1 t=7561
fan hua xing 	泛化性	c=1 d=1 t=7562
fan hui 	返回	c=10 d=1 t=16921
fan hui zhi 	返回值	c=1 d=1 t=5244
fan hui zhui cha 	返回追查	c=1 d=1 t=11594
fan kui 	反饋	c=2 d=1 t=17193
fan nao 	煩惱	c=1 d=1 t=5936
fan qi 	泛起	c=2 d=1.96079 t=14828
fan she 	反射	c=2 d=1.23224 t=4542
fan sheng 	繁盛	c=1 d=1 t=4249
fan shi 	凡是	c=1 d=1 t=3622
fan shi 	範式	c=4 d=2.97025 t=14123
fan si 	反思	c=3 d=1.00001 t=5992
fan xiang 	反響	c=1 d=1 t=8221
fan xiao 	返校	c=1 d=1 t=525
fan xing 	反省	c=1 d=1 t=5330
fan xing 	泛型	c=2 d=1.17204 t=5683
fan yi 	翻譯	c=4 d=1.96079 t=9221
fan zheng 	反正	c=1 d=1 t=11531
fan zhuan 	翻轉	c=1 d=1 t=14065
fang 	放	c=1 d=1 t=3252
fang 	防	c=1 d=1 t=10528
fang an 	方案	c=1 d=1 t=15915
fang bian 	方便	c=2 d=1 t=14056
fang cha 	方差	c=2 d=1.94176 t=9528
fang cheng 	方程	c=5 d=1.22926 t=7751
fang cun 	訪存	c=1 d=1 t=13641
fang fa 	方法	c=101 d=1.95157 t=16197
fang fa fa 	方法法	c=1 d=1 t=9744
fang fu 	彷彿	c=2 d=1.83946 t=13244
fang ge 	方格	c=1 d=1 t=7921
fang hua 	防滑	c=1 d=1 t=15784
fang huo qiang 	防火牆	c=1 d=1 t=16448
fang jia 	房價	c=1 d=1 t=2186
fang jian 	房間	c=2 d=1.39852 t=4042
fang mian 	方面	c=2 d=1.00004 t=12825
fang qi 	放棄	c=1 d=1 t=13794
fang shi 	方式	c=23 d=1.25453 t=13002
fang wei 	方位	c=1 d=1 t=3859
fang wen 	訪問	c=6 d=1.042 t=17089
fang xia 	放下	c=2 d=1.94649 t=14145
fang xia lai 	放下來	c=1 d=1 t=3106
fang xian 	防線	c=1 d=1 t=8206
fang xiang 	方向	c=7 d=1.2247 t=8932
fang xie 	放血	c=1 d=1 t=4517
fang xing wei ai 	方興未艾	c=1 d=1 t=14225
fang zai 	放在	c=2 d=1.97045 t=488
fang zhi 	防止	c=1 d=1 t=1652
fei 	非	c=1 d=1 t=7551
fei chang 	非常	c=5 d=1 t=12566
fei chang bu tong 	非常不同	c=1 d=1 t=7031
fei de 	非得	c=1 d=1 t=13131
fei xian xing 	非線性	c=5 d=1 t=10788
fen 	分	c=2 d=1 t=7795
fen bian lv 	分辨率	c=3 d=2.83944 t=6449
fen biao 	分俵	c=1 d=1 t=1122
fen bie 	分別	c=6 d=1.14882 t=12508
fen bu 	分佈	c=6 d=1.9802 t=15283
fen bu zhong 	分佈中	c=1 d=1 t=10639
fen chai 	分拆	c=1 d=1 t=1323
fen dou 	奮鬥	c=1 d=1 t=14610
fen ge 	分割	c=36 d=1.98916 t=16976
fen gen 	分根	c=1 d=1 t=1284
fen kai 	分開	c=2 d=1 t=11909
fen kuai 	分塊	c=1 d=1 t=2880
fen lei 	分類	c=13 d=1.00884 t=11936
fen lei tou 	分類頭	c=1 d=1 t=9040
fen li 	分離	c=3 d=1 t=6508
fen men bie lei 	分門別類	c=1 d=1 t=9158
fen pei 	分配	c=7 d=1 t=11286
fen pi ci 	分批次	c=1 d=1 t=2308
fen pian 	分片	c=1 d=1 t=2850
fen qing 	分清	c=1 d=1 t=249
fen qing 	憤青	c=0 d=0.1 t=240
fen qing le 	憤青了	c=1 d=1 t=241
fen shi 	分式	c=1 d=1 t=7280
fen shu 	分數	c=2 d=1 t=17003
fen wei 	分爲	c=2 d=1 t=12834
fen xi 	分析	c=9 d=1.00033 t=17049
fen xiang 	分享	c=2 d=1.96561 t=5822
fen xing 	分型	c=1 d=1 t=6579
fen yi 	分宜	c=1 d=1 t=1764
fen zai 	分在	c=1 d=1 t=10905
fen zhi 	分支	c=15 d=1.00017 t=13639
fen zi 	分子	c=3 d=1 t=9450
fen zu 	分組	c=1 d=1 t=6295
feng fu 	豐富	c=1 d=1 t=15475
feng ge 	風格	c=1 d=1 t=956
feng jing 	風景	c=1 d=1 t=15691
feng li 	鋒利	c=1 d=1 t=13405
feng shuang 	風霜	c=1 d=1 t=261
feng xian 	風險	c=0 d=0.1 t=296
feng zhi 	峯值	c=1 d=1 t=4278
feng zhong 	風中	c=1 d=1 t=10316
feng zhuang 	封裝	c=1 d=1 t=5598
fou ze 	否則	c=3 d=1.16532 t=4905
fu 	副	c=1 d=1 t=11831
fu 	腹	c=1 d=1 t=2060
fu 	負	c=0 d=0.1 t=13013
fu chu 	付出	c=2 d=0.505157 t=897
fu dan 	負擔	c=2 d=1 t=15928
fu hao 	符號	c=2 d=1 t=16002
fu he 	符合	c=3 d=1 t=10152
fu he 	複覈	c=1 d=1 t=17368
fu mian 	負面	c=1 d=1 t=16333
fu mu xin 	父母心	c=1 d=1 t=1226
fu qin 	父親	c=1 d=1 t=5817
fu she 	輻射	c=1 d=1 t=4233
fu shi 	服飾	c=1 d=1 t=3546
fu shi tu 	俯視圖	c=1 d=1 t=16058
fu wu 	服務	c=9 d=1.76365 t=17019
fu wu ceng 	服務層	c=1 d=1 t=13846
fu wu qi 	服務器	c=2 d=1.09395 t=17393
fu xi 	複習	c=2 d=1 t=15143
fu yang ben 	負樣本	c=2 d=1.96079 t=13022
fu yu 	賦予	c=2 d=1.90937 t=12492
fu za 	複雜	c=10 d=1 t=15259
fu za du 	複雜度	c=4 d=1 t=16103
fu za lei xing 	複雜類型	c=1 d=1 t=5488
fu za sai 	複雜賽	c=1 d=1 t=7318
fu za xing 	複雜性	c=1 d=1 t=13967
fu zai 	負載	c=2 d=1 t=15258
fu zai 	附在	c=1 d=1 t=16833
fu zan 	輔贊	c=1 d=1 t=1519
fu ze 	負責	c=4 d=1 t=13698
fu zhi 	複製	c=2 d=1.91687 t=2699
fu zhu 	輔助	c=1 d=0.1 t=16759
fu zhu hou 	輔助後	c=1 d=1 t=16760
fu zhuang 	服裝	c=2 d=1 t=12006
gai 	改	c=1 d=1 t=15130
gai 	該	c=6 d=1 t=17101
gai bian 	改變	c=1 d=1 t=12523
gai cheng 	改成	c=1 d=1 t=4928
gai chu 	該處	c=1 d=1 t=4346
gai dong 	改動	c=1 d=1 t=12732
gai jin 	改進	c=6 d=2.95003 t=17366
gai lv 	概率	c=7 d=1 t=15452
gai nian 	概念	c=10 d=2.05382 t=11854
gai shan 	改善	c=1 d=1 t=11191
gai zuo 	該做	c=2 d=1.97045 t=235
gan 	感	c=0 d=0.1 t=13769
gan bu 	幹部	c=6 d=3.21951 t=17244
gan dao 	感到	c=1 d=1 t=15797
gan jing 	乾淨	c=3 d=1 t=17342
gan ju 	柑橘	c=1 d=1 t=13025
gan jue 	感覺	c=10 d=1.06073 t=15106
gan kai 	感慨	c=1 d=1 t=10483
gan rao 	干擾	c=0 d=0.1 t=995
gan rao xiang 	干擾項	c=1 d=1 t=996
gan shou 	感受	c=6 d=1.00066 t=16902
gan shou ye 	感受野	c=5 d=1.57012 t=12976
gan tan 	感嘆	c=1 d=1 t=3065
gan wu 	感悟	c=1 d=1 t=14964
gan wu dao 	感悟到	c=1 d=1 t=10432
gan xing qu 	感興趣	c=1 d=1 t=3507
gan yu 	干預	c=1 d=1 t=17189
gan zhi 	感知	c=1 d=1.00061 t=8228
gan zhi qi 	感知器	c=1 d=1 t=7209
gang 	剛	c=1 d=1 t=466
gang du 	剛度	c=1 d=1 t=5800
gang gang 	剛剛	c=1 d=1 t=14864
gang wei 	崗位	c=1 d=1 t=17097
gang yao 	綱要	c=1 d=1 t=96
gao 	高	c=4 d=0.1 t=14288
gao ceng 	高層	c=1 d=1 t=2927
gao di fen 	高低分	c=1 d=1 t=6462
gao du 	高度	c=2 d=1 t=16811
gao fen 	高分	c=2 d=1.56836 t=1134
gao guang pu 	高光譜	c=1 d=1 t=1013
gao ji 	高級	c=4 d=1 t=13798
gao ji gai nian 	高級概念	c=1 d=1 t=5479
gao liang du 	高亮度	c=1 d=1 t=14289
gao shan 	高山	c=1 d=1 t=13924
gao su 	告訴	c=3 d=1 t=6006
gao su 	高速	c=1 d=1 t=2898
gao su wo 	告訴我	c=1 d=1 t=1214
gao su zi ji 	告訴自己	c=1 d=1 t=14740
gao tie 	高鐵	c=1 d=1 t=15515
gao wei 	高位	c=1 d=1 t=7658
gao wei 	高維	c=2 d=1.13425 t=7882
gao xiao 	高效	c=11 d=1.00026 t=12907
gao zhi 	告知	c=1 d=0.193069 t=4444
gao zhi lai 	告知來	c=1 d=1 t=3857
gao zhi lian 	告知連	c=1 d=1 t=4445
gao zhi lian dong 	告知聯動	c=1 d=1 t=3728
gao zhi liang 	高質量	c=5 d=1.00001 t=6831
gao zhu 	高躅	c=1 d=1 t=13766
ge 	個	c=15 d=1.83527 t=16368
ge 	各	c=2 d=1.86502 t=13016
ge bie 	個別	c=3 d=1 t=17165
ge di 	各地	c=1 d=1 t=13556
ge duo 	個多	c=1 d=1 t=8195
ge ge 	各個	c=3 d=1.78054 t=3075
ge ge 	哥哥	c=1 d=1 t=2857
ge ji 	各級	c=1 d=1 t=17376
ge jiu ge wei 	各就各位	c=1 d=1 t=17435
ge ju 	格局	c=1 d=1 t=17304
ge ren 	個人	c=3 d=1 t=16076
ge ren 	各人	c=1 d=1 t=13248
ge shi 	格式	c=7 d=2.79558 t=14955
ge shu 	個數	c=1 d=1 t=2337
ge ti 	個體	c=3 d=1 t=9805
ge xin 	革新	c=1 d=1 t=8726
ge zhong 	各種	c=1 d=1 t=2790
ge zi 	各自	c=1 d=1 t=10485
gei 	給	c=9 d=1 t=16120
gei chu 	給出	c=4 d=1 t=16124
gei chu le 	給出了	c=1 d=1 t=7124
gei ding 	給定	c=7 d=1 t=16015
gei ding dian 	給定點	c=2 d=1.97531 t=4251
gei yu 	給予	c=1 d=1 t=16014
gei zi li 	給自立	c=1 d=1 t=490
gen 	根	c=1 d=1 t=641
gen 	跟	c=2 d=1 t=9598
gen dian 	根點	c=1 d=1 t=2054
gen ju 	根據	c=6 d=1.00009 t=17343
gen zhe 	跟着	c=1 d=1 t=12419
gen zong 	跟蹤	c=3 d=1.00111 t=7852
geng 	更	c=8 d=1.00787 t=13384
geng da 	更大	c=1 d=1 t=12974
geng duo 	更多	c=6 d=1.0087 t=16217
geng gai 	更改	c=9 d=1.31086 t=16826
geng hao 	更好	c=1 d=1 t=15330
geng jia 	更加	c=2 d=1 t=17111
geng kuai 	更快	c=1 d=1 t=7169
geng li xiang 	更理想	c=1 d=1 t=12818
geng qiang 	更強	c=1 d=1 t=10791
geng xin 	更新	c=19 d=1.0005 t=17388
geng yao 	更要	c=1 d=1 t=99
geng you 	更有	c=1 d=1 t=412
gong bu 	公佈	c=1 d=1 t=6566
gong cheng 	工程	c=4 d=1.9802 t=15879
gong duo 	攻奪	c=1 d=1 t=8616
gong e 	共軛	c=1 d=1 t=15150
gong gong 	公共	c=2 d=1 t=7327
gong ju 	工具	c=7 d=1.00125 t=13101
gong kou 	公口	c=1 d=1 t=16881
gong mu 	公母	c=1 d=1 t=15481
gong neng 	功能	c=5 d=1.24439 t=16899
